word_key,match_type,matched_forms,selection_reason,before_morphemes,after_morphemes,before_morphology_notes,after_morphology_notes,before_source_name,after_source_name,before_confidence,after_confidence,before_review_status,after_review_status,pronunciation_fields_changed,grapheme_irregularity_fields_changed
a_en_gb,exact,a,Exact MorphoLex row used.,,a: root:a,,"MorphoLex-en exact evidence: [a; POS=minor|NN; Nmorph=1; PRS=0,1,0; segmentation={(a)}] Selection note: Exact MorphoLex row used.",CMU Pronouncing Dictionary,MorphoLex-en,low,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
ability_en_gb,exact,ability,Exact MorphoLex row used.,,ability: root:able + suffix:ity,,"MorphoLex-en exact evidence: [ability; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(able)}>ity>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
about_en_gb,exact,about,Exact MorphoLex row used.,,about: root:about,,"MorphoLex-en exact evidence: [about; POS=minor|RB|JJ; Nmorph=1; PRS=0,1,0; segmentation={(about)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
act_en_gb,exact,act,Exact MorphoLex row used.,,act: root:act,,"MorphoLex-en exact evidence: [act; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(act)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
action_en_gb,exact,action,Exact MorphoLex row used.,act + ion,action: root:act + suffix:ion,Latin root act meaning do; suffix -ion forms a noun.,"Latin root act meaning do; suffix -ion forms a noun. | MorphoLex-en exact evidence: [action; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(act)}>ion>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
activity_en_gb,exact,activity,Exact MorphoLex row used.,act + ive + ity,activity: root:act + suffix:ive + suffix:ity,Latin root act meaning do; suffixes build a related noun.,"Latin root act meaning do; suffixes build a related noun. | MorphoLex-en exact evidence: [activity; POS=NN; Nmorph=3; PRS=0,1,2; segmentation={(act)}>ive>>ity>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
actor_en_gb,exact,actor,Exact MorphoLex row used.,act + or,actor: root:act + suffix:or,Latin root act meaning do; suffix -or marks a person who does the action.,"Latin root act meaning do; suffix -or marks a person who does the action. | MorphoLex-en exact evidence: [actor; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(act)}>or>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
actual_en_gb,exact,actual,Exact MorphoLex row used.,,actual: root:act + suffix:al,,"MorphoLex-en exact evidence: [actual; POS=JJ|NN; Nmorph=2; PRS=0,1,1; segmentation={(act)>al>}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
again_en_gb,exact,again,Exact MorphoLex row used.,,again: root:again,,"MorphoLex-en exact evidence: [again; POS=RB; Nmorph=1; PRS=0,1,0; segmentation={(again)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
agreement_en_gb,exact,agreement,Exact MorphoLex row used.,,agreement: root:agree + suffix:ment,,"MorphoLex-en exact evidence: [agreement; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(agree)}>ment>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
air_en_gb,exact,air,Exact MorphoLex row used.,,air: root:air,,"MorphoLex-en exact evidence: [air; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(air)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
align_en_gb,exact,align,Exact MorphoLex row used.,,align: prefix:a + root:line,,"MorphoLex-en exact evidence: [align; POS=VB; Nmorph=2; PRS=1,1,0; segmentation={<a<(line)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
allowed_en_gb,exact,allowed,Exact MorphoLex row used.,,allowed: root:allow,,"MorphoLex-en exact evidence: [allowed; POS=VB; Nmorph=1; PRS=0,1,0; segmentation={(allow)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
aloud_en_gb,exact,aloud,Exact MorphoLex row used.,,aloud: root:aloud,,"MorphoLex-en exact evidence: [aloud; POS=RB; Nmorph=1; PRS=0,1,0; segmentation={(aloud)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
alphabet_en_gb,exact,alphabet,Exact MorphoLex row used.,,alphabet: root:alphabet,,"MorphoLex-en exact evidence: [alphabet; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(alphabet)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
angle_en_gb,exact,angle,Exact MorphoLex row used.,,angle: root:angle,,"MorphoLex-en exact evidence: [angle; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(angle)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
animal_en_gb,exact,animal,Exact MorphoLex row used.,,animal: root:animal,,"MorphoLex-en exact evidence: [animal; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(animal)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
ankle_en_gb,exact,ankle,Exact MorphoLex row used.,,ankle: root:ankle,,"MorphoLex-en exact evidence: [ankle; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(ankle)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
answer_en_gb,exact,answer,Exact MorphoLex row used.,,answer: root:answer,,"MorphoLex-en exact evidence: [answer; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(answer)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
antique_en_gb,exact,antique,Exact MorphoLex row used.,,antique: root:antique,,"MorphoLex-en exact evidence: [antique; POS=JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(antique)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
apple_en_gb,exact,apple,Exact MorphoLex row used.,,apple: root:apple,,"MorphoLex-en exact evidence: [apple; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(apple)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
are_en_gb,exact,are,Exact MorphoLex row used.,,are: root:are,,"MorphoLex-en exact evidence: [are; POS=VB; Nmorph=1; PRS=0,1,0; segmentation={(are)}] Selection note: Exact MorphoLex row used.",CMU Pronouncing Dictionary,MorphoLex-en,low,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
argument_en_gb,exact,argument,Exact MorphoLex row used.,,argument: root:argue + suffix:ment,,"MorphoLex-en exact evidence: [argument; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(argue)}>ment>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
around_en_gb,exact,around,Exact MorphoLex row used.,,around: root:around,,"MorphoLex-en exact evidence: [around; POS=minor|RB; Nmorph=1; PRS=0,1,0; segmentation={(around)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
as_en_gb,exact,as,Exact MorphoLex row used.,,as: root:as,,"MorphoLex-en exact evidence: [as; POS=minor|RB; Nmorph=1; PRS=0,1,0; segmentation={(as)}] Selection note: Exact MorphoLex row used.",CMU Pronouncing Dictionary,MorphoLex-en,low,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
attention_en_gb,exact,attention,Exact MorphoLex row used.,,attention: root:attend + suffix:ion,,"MorphoLex-en exact evidence: [attention; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(attend)}>ion>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
author_en_gb,exact,author,Exact MorphoLex row used.,,author: root:author,,"MorphoLex-en exact evidence: [author; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(author)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
auto_en_gb,exact,auto,Exact MorphoLex row used.,,auto: root:auto,,"MorphoLex-en exact evidence: [auto; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(auto)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
automatic_en_gb,exact,automatic,Exact MorphoLex row used.,,automatic: root:automatic,,"MorphoLex-en exact evidence: [automatic; POS=JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(automatic)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
away_en_gb,exact,away,Exact MorphoLex row used.,,away: root:away,,"MorphoLex-en exact evidence: [away; POS=RB|minor; Nmorph=1; PRS=0,1,0; segmentation={(away)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
babies_en_gb,exact,babies,Exact MorphoLex row used.,,babies: root:baby,,"MorphoLex-en exact evidence: [babies; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(baby)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
baby_en_gb,exact,baby,Exact MorphoLex row used.,,baby: root:baby,,"MorphoLex-en exact evidence: [baby; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(baby)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
back_en_gb,exact,back,Exact MorphoLex row used.,,back: root:back,,"MorphoLex-en exact evidence: [back; POS=RB|JJ|NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(back)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bad_en_gb,exact,bad,Exact MorphoLex row used.,,bad: root:bad,,"MorphoLex-en exact evidence: [bad; POS=JJ|NN|RB; Nmorph=1; PRS=0,1,0; segmentation={(bad)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
worse_en_gb,exact,worse,Exact MorphoLex row used.,bad -> worse,worse: root:worse,Irregular comparison: bad does not become badder in standard use; the comparative form is worse.,"Irregular comparison: bad does not become badder in standard use; the comparative form is worse. | MorphoLex-en exact evidence: [worse; POS=JJ|RB|NN; Nmorph=1; PRS=0,1,0; segmentation={(worse)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
worst_en_gb,exact,worst,Exact MorphoLex row used.,bad -> worst,worst: root:worst,Irregular comparison: bad does not become baddest in standard use; the superlative form is worst.,"Irregular comparison: bad does not become baddest in standard use; the superlative form is worst. | MorphoLex-en exact evidence: [worst; POS=JJ|RB|NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(worst)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
badge_en_gb,exact,badge,Exact MorphoLex row used.,,badge: root:badge,,"MorphoLex-en exact evidence: [badge; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(badge)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bake_en_gb,exact,bake,Exact MorphoLex row used.,,bake: root:bake,,"MorphoLex-en exact evidence: [bake; POS=VB|JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(bake)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
baked_en_gb,exact,baked,Exact MorphoLex row used.,,baked: root:bake,,"MorphoLex-en exact evidence: [baked; POS=JJ|VB; Nmorph=1; PRS=0,1,0; segmentation={(bake)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bank_en_gb,exact,bank,Exact MorphoLex row used.,,bank: root:bank,,"MorphoLex-en exact evidence: [bank; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bank)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
basic_en_gb,exact,basic,Exact MorphoLex row used.,,basic: root:base + suffix:ic,,"MorphoLex-en exact evidence: [basic; POS=JJ|NN; Nmorph=2; PRS=0,1,1; segmentation={(base)}>ic>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
basket_en_gb,exact,basket,Exact MorphoLex row used.,,basket: root:basket,,"MorphoLex-en exact evidence: [basket; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(basket)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bat_en_gb,exact,bat,Exact MorphoLex row used.,,bat: root:bat,,"MorphoLex-en exact evidence: [bat; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bat)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bath_en_gb,exact,bath,Exact MorphoLex row used.,,bath: root:bath,,"MorphoLex-en exact evidence: [bath; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(bath)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
beautiful_en_gb,exact,beautiful,Exact MorphoLex row used.,,beautiful: root:beauty + suffix:ful,,"MorphoLex-en exact evidence: [beautiful; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(beauty)}>ful>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
because_en_gb,exact,because,Exact MorphoLex row used.,,because: root:because,,"MorphoLex-en exact evidence: [because; POS=minor; Nmorph=1; PRS=0,1,0; segmentation={(because)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bed_en_gb,exact,bed,Exact MorphoLex row used.,,bed: root:bed,,"MorphoLex-en exact evidence: [bed; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(bed)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bedroom_en_gb,exact,bedroom,Exact MorphoLex row used.,,bedroom: root:bed + root:room,,"MorphoLex-en exact evidence: [bedroom; POS=NN; Nmorph=2; PRS=0,2,0; segmentation={(bed)}{(room)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bench_en_gb,exact,bench,Exact MorphoLex row used.,,bench: root:bench,,"MorphoLex-en exact evidence: [bench; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(bench)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
best_en_gb,exact,best,Exact MorphoLex row used.,good -> best,best: root:beast,Irregular comparison: good does not become goodest; the superlative form is best.,"Irregular comparison: good does not become goodest; the superlative form is best. | MorphoLex-en exact evidence: [best; POS=JJ|RB; Nmorph=1; PRS=0,1,0; segmentation={(beast)}] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
bigger_en_gb,exact,bigger,Exact MorphoLex row used.,big + er,bigger: root:big + suffix:er,Double the final consonant before -er after a short vowel: big -> bigger.,"Double the final consonant before -er after a short vowel: big -> bigger. | MorphoLex-en exact evidence: [bigger; POS=JJ; Nmorph=2; PRS=0,1,1; segmentation={(big)}>er>] Selection note: Exact MorphoLex row used.",open-dict-data ipa-dict en_UK,MorphoLex-en,medium,medium,approved_for_first_exposure,approved_for_first_exposure,FALSE,FALSE
