word_key,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,pronunciation_review,morphology_review,british_english_review,final_decision,reviewed_by,reviewed_at,review_notes
either_en_gb,2,/ˈaɪðɐ/,,primary-unstressed,TRUE,{(either)},MorphoLex-en exact candidate: {(either)}; POS=minor|RB.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
belief_en_gb,2,/bɪlˈiːf/,,unstressed-primary,FALSE,{(belief)},MorphoLex-en exact candidate: {(belief)}; POS=NN.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
immigrants_en_gb,3,/ˈɪmɪɡɹənts/,,primary-unstressed-unstressed,TRUE,{<in<(migr)>ant>},MorphoLex-en exact candidate: {<in<(migr)>ant>}; POS=NN.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
summary_en_gb,3,/sˈʌməɹi/,,primary-unstressed-unstressed,TRUE,{(summar)>y>},MorphoLex-en exact candidate: {(summar)>y>}; POS=NN.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
diabetes_en_gb,4,/daɪəbˈiːtiːz/,,secondary-unstressed-primary-unstressed,TRUE,{(diabetes)},MorphoLex-en exact candidate: {(diabetes)}; POS=NN.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
brownie_en_gb,2,/bɹˈaʊni/,,primary-unstressed,FALSE,{(brown)}>y>,MorphoLex-en exact candidate: {(brown)}>y>; POS=NN.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
i_en_gb,1,/ˈaɪ/,,primary,FALSE,{(i)},MorphoLex-en exact candidate: {(i)}; POS=minor|NN.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
be_en_gb,1,/bˈiː/,,primary,FALSE,{(be)},MorphoLex-en exact candidate: {(be)}; POS=VB.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
not_en_gb,1,/nˈɒt/,,primary,FALSE,{(not)},MorphoLex-en exact candidate: {(not)}; POS=RB.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
by_en_gb,1,/bˈaɪ/,,primary,FALSE,{(by)},MorphoLex-en exact candidate: {(by)}; POS=minor|RB.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
it_s_en_gb,1,IH1 T S,,primary,FALSE,{(it)},MorphoLex-en exact candidate: {(it)}; POS=encl.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,low,in_review,in_review,in_review,in_review,in_review,,,
which_en_gb,1,/wˈɪtʃ/,,primary,FALSE,{(which)},MorphoLex-en exact candidate: {(which)}; POS=minor.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
she_en_gb,1,/ʃˈiː/,,primary,FALSE,{(she)},MorphoLex-en exact candidate: {(she)}; POS=minor.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
how_en_gb,1,/hˈaʊ/,,primary,FALSE,{(how)},MorphoLex-en exact candidate: {(how)}; POS=minor.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
some_en_gb,1,/sˈʌm/,,primary,FALSE,{(some)},MorphoLex-en exact candidate: {(some)}; POS=minor|NN.,AI-assisted candidate metadata; verify British pronunciation and teaching relevance.,ai_assisted_draft,"British IPA, CMUdict and MorphoLex candidate enrichment",https://github.com/open-dict-data/ipa-dict; https://github.com/cmusphinx/cmudict; https://github.com/hugomailhot/MorphoLex-en,mixed open licences; see teaching_content_sources.csv,Automated candidate enrichment only; not approved teaching truth.,medium,in_review,in_review,in_review,in_review,in_review,,,
