word_key,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status
grand_en_gb,1,/ɡrænd/,Approved British-English pronunciation metadata.,single,false,grand,Proposed single-base canonical component row for Compound Word v2 closure.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
grandmother_en_gb,3,/ˈɡrænˌmʌðə/,Approved British-English pronunciation metadata.,first-secondary,true,grand + mother → grandmother,Reuse the human-approved D4 Compound Word analysis for ordered components and governed separators.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
homework_en_gb,2,/ˈhəʊmwɜːk/,Approved British-English pronunciation metadata.,first,false,home + work → homework,Reuse the human-approved D4 Compound Word analysis for ordered components and governed separators.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
sunflower_en_gb,3,/ˈsʌnˌflaʊə/,Approved British-English pronunciation metadata.,first-secondary,true,sun + flower → sunflower,Reuse the human-approved D4 Compound Word analysis for ordered components and governed separators.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
cream_en_gb,1,/kriːm/,Approved British-English pronunciation metadata.,single,false,cream,Proposed single-base canonical component row for Compound Word v2 closure.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
living_en_gb,2,/ˈlɪvɪŋ/,Approved British-English pronunciation metadata.,first,false,living,Proposed single-base canonical component row for Compound Word v2 closure.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
living_room_en_gb,3,/ˈlɪvɪŋ ˌruːm/,Approved British-English pronunciation metadata.,first-secondary,false,living + room → living room,Reuse the human-approved D4 Compound Word analysis for ordered components and governed separators.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
in_en_gb,1,/ɪn/,Approved British-English pronunciation metadata.,single,false,in,Proposed single-base canonical component row for Compound Word v2 closure.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
law_en_gb,1,/lɔː/,Approved British-English pronunciation metadata.,single,false,law,Proposed single-base canonical component row for Compound Word v2 closure.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
mother_in_law_en_gb,4,/ˈmʌðərɪnˌlɔː/,Approved British-English pronunciation metadata.,first-secondary,true,mother + in + law → mother-in-law,Reuse the human-approved D4 Compound Word analysis for ordered components and governed separators.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
part_en_gb,1,/pɑːt/,Approved British-English pronunciation metadata.,single,false,part,Proposed single-base canonical component row for Compound Word v2 closure.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
part_time_en_gb,2,/ˌpɑːtˈtaɪm/,Approved British-English pronunciation metadata.,second,false,part + time → part-time,Reuse the human-approved D4 Compound Word analysis for ordered components and governed separators.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
office_en_gb,2,/ˈɒfɪs/,Approved British-English pronunciation metadata.,first,false,office,Proposed single-base canonical component row for Compound Word v2 closure.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
post_office_en_gb,3,/ˈpəʊst ˌɒfɪs/,Approved British-English pronunciation metadata.,first-secondary,false,post + office → post office,Reuse the human-approved D4 Compound Word analysis for ordered components and governed separators.,,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure
