case_id,classification,intended_alternative,supported_construction_status,rationale
g2-to-too-two-0341,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0342,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0343,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0344,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0345,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0346,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0347,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0348,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0349,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0350,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0351,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0352,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0353,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0354,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0355,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0356,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0357,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0358,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0359,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-to-too-two-0360,UNCERTAIN,,UNSUPPORTED,"The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope."
