micro_skill_key,content_version,previous_version_status,promoted_version_status,previous_is_active,promoted_is_active,final_readiness_review_status,changed_fields,activation_status
D4_SCHWA_INITIAL_A_INITIAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_INITIAL_E_INITIAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_INITIAL_O_INITIAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_MEDIAL_COMMON_WEAK_VOWELS,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_MEDIAL_NATURAL_ACTUAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_FINAL_ER_FINAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_FINAL_OR_FINAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_FINAL_AR_FINAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_SCHWA_FINAL_A_FINAL,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_PREFIXES_UN,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_PREFIXES_RE_PRE,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_PREFIXES_DIS_MIS,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_PREFIXES_IN_IM_IL_IR,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_PREFIXES_SUB_INTER_SUPER,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
D4_MOR_SUFFIXES_NESS,human_reviewed_v1,in_review,active,FALSE,TRUE,signed_off,version_status|is_active,activated_for_first_exposure_candidate
